Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,34.400002,34.500000,33.450001,34.000000,32.176041,199000
2017-01-04,34.200001,35.000000,34.099998,34.900002,33.027763,181400
2017-01-05,32.650002,34.200001,32.549999,33.599998,31.797501,1219900
2017-01-06,33.700001,33.750000,32.900002,33.750000,31.939457,3607000
2017-01-09,33.849998,34.349998,33.500000,33.950001,32.128723,611900
2017-01-10,34.000000,34.650002,33.849998,34.200001,32.365311,414300
2017-01-11,34.400002,34.424999,33.700001,34.150002,32.317993,440800
2017-01-12,34.000000,34.224998,33.154999,33.650002,31.844816,328200
2017-01-13,33.950001,34.500000,33.950001,34.299999,32.459949,264600
2017-01-17,34.349998,34.599998,33.599998,33.650002,31.844816,320100
2017-01-18,33.650002,34.549999,33.250000,34.200001,32.365311,301600
2017-01-19,34.250000,34.450001,33.750000,34.099998,32.270676,365900
2017-01-20,34.200001,34.400002,33.750000,33.849998,32.034088,330000
2017-01-23,33.849998,34.099998,33.099998,33.700001,31.892138,311900
2017-01-24,33.900002,34.599998,33.700001,34.400002,32.554585,299600
2017-01-25,34.799999,35.250000,34.000000,34.450001,32.601906,238200
2017-01-26,34.549999,34.549999,34.049999,34.450001,32.601906,194200
2017-01-27,34.599998,34.599998,33.849998,34.349998,32.507259,251300
2017-01-30,34.000000,34.150002,33.400002,34.099998,32.270676,259900
2017-01-31,34.000000,34.299999,33.674999,34.099998,32.270676,704900
2017-02-01,34.450001,34.700001,34.150002,34.250000,32.412632,285000
2017-02-02,33.500000,34.299999,33.500000,34.200001,32.365311,291200
2017-02-03,34.750000,35.110001,34.349998,35.000000,33.122395,436100
2017-02-06,34.900002,35.000000,34.049999,34.900002,33.027763,375900
2017-02-07,34.950001,35.049999,34.599998,35.000000,33.122395,396700
2017-02-08,37.549999,37.549999,35.724998,36.900002,34.920471,854800
2017-02-09,37.150002,39.900002,36.900002,37.549999,35.535599,737700
2017-02-10,37.849998,38.029999,37.349998,37.599998,35.582916,326300
2017-02-13,37.700001,38.099998,37.400002,37.849998,35.819504,511800
2017-02-14,37.900002,38.549999,37.799999,38.400002,36.340000,312900
2017-02-15,38.299999,38.549999,37.799999,37.900002,35.866821,433900
2017-02-16,37.750000,38.000000,37.599998,37.750000,35.724869,281400
2017-02-17,37.700001,37.700001,36.799999,37.549999,35.535599,454700
2017-02-21,37.900002,38.250000,37.450001,37.500000,35.488281,185400
2017-02-22,37.599998,37.700001,37.099998,37.549999,35.535599,503000
2017-02-23,37.400002,37.500000,36.375000,37.000000,35.015106,446500
2017-02-24,36.400002,37.099998,36.250000,37.099998,35.109737,276500
2017-02-27,37.000000,37.299999,36.700001,37.200001,35.204376,320000
2017-02-28,37.000000,37.099998,36.650002,36.799999,34.825836,306300
2017-03-01,36.799999,37.650002,36.799999,37.599998,35.944309,345600
2017-03-02,37.599998,38.000000,37.250000,37.700001,36.039909,431900
2017-03-03,37.750000,38.000000,37.525002,37.950001,36.278900,314700
2017-03-06,37.500000,38.000000,37.349998,37.799999,36.135506,231300
2017-03-07,37.700001,38.299999,37.549999,37.849998,36.183304,246100
2017-03-08,38.049999,38.849998,38.049999,38.099998,36.422295,192900
2017-03-09,38.200001,38.349998,37.549999,37.549999,35.896515,203400
2017-03-10,37.950001,38.200001,37.549999,37.750000,36.087708,280400
2017-03-13,37.750000,38.099998,37.500000,37.950001,36.278900,259100
2017-03-14,37.650002,37.799999,37.000000,37.549999,35.896515,128300
2017-03-15,37.650002,38.549999,37.650002,38.400002,36.709087,179500
2017-03-16,38.500000,38.974998,38.400002,38.700001,36.995876,194900
2017-03-17,38.849998,38.849998,37.849998,38.000000,36.326698,404200
2017-03-20,38.000000,38.150002,37.549999,37.799999,36.135506,341600
2017-03-21,38.240002,38.240002,36.900002,36.950001,35.322933,252100
2017-03-22,36.799999,36.875000,36.200001,36.500000,34.892754,186900
2017-03-23,36.450001,37.200001,36.400002,37.150002,35.514130,206100
2017-03-24,37.250000,37.900002,37.150002,37.599998,35.944309,277900
2017-03-27,36.750000,36.924999,36.099998,36.549999,34.940548,234000
2017-03-28,36.299999,37.150002,36.049999,37.000000,35.370735,117500
2017-03-29,37.049999,37.250000,36.700001,37.099998,35.466331,147800
